from-ID	to-ID	edge-kind	chapter	status	edge-class	resolution	kind-basis	evidence
CAP:UniformityStatement	COND:A1_n	stmt-dep	I	OPEN	ledger-cond	from:exact,to:unmatched	default	HYPOTHESIS_LEDGER Display A conjunct A1_n (no HYP row matched)
CAP:UniformityStatement	COND:A2_n	stmt-dep	I	OPEN	ledger-cond	from:exact,to:unmatched	default	HYPOTHESIS_LEDGER Display A conjunct A2_n (no HYP row matched)
CAP:UniformityStatement	COND:H-e)-window-pinning	stmt-dep	I	OPEN	ledger-cond	from:exact,to:unmatched	default	HYPOTHESIS_LEDGER Display A conjunct H-e)-window-pinning (no HYP row matched)
CAP:UniformityStatement	HYP.01	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.01)
CAP:UniformityStatement	HYP.02	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.02)
CAP:UniformityStatement	HYP.07	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.07)
CAP:UniformityStatement	HYP.08	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.08)
CAP:UniformityStatement	HYP.09	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.09)
CAP:UniformityStatement	HYP.10	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.10)
CAP:UniformityStatement	HYP.100	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.100)
CAP:UniformityStatement	HYP.101	stmt-dep	I	OPEN	ledger-cond	from:exact,to:exact	default	HYPOTHESIS_LEDGER Display A conjunct HE7A[ACCOUNT, RES-DEG, nonempty, exhaust, root-continuation
CAP:UniformityStatement	HYP.102	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.102)
CAP:UniformityStatement	HYP.103	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.103)
CAP:UniformityStatement	HYP.104	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.104)
CAP:UniformityStatement	HYP.105	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.105)
CAP:UniformityStatement	HYP.106	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.106)
CAP:UniformityStatement	HYP.107	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.107)
CAP:UniformityStatement	HYP.108	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.108)
CAP:UniformityStatement	HYP.109	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.109)
CAP:UniformityStatement	HYP.11	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.11)
CAP:UniformityStatement	HYP.110	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.110)
CAP:UniformityStatement	HYP.111	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.111)
CAP:UniformityStatement	HYP.112	stmt-dep	I	OPEN	ledger-path	from:exact,to:exact	default	HYPOTHESIS_LEDGER scope: surviving condition on the capstone path (HYP.112)
