note	spec-file	fenced-units	banned-designations-or-notes	recorded-row
GENH4	EFF-GENH4.md	EFF.GENH4.06;EFF.GENH4.48	NOTE:LIFTCORNER	W-2/LIFTCORNER | "the W-2/LIFTCORNER seam NOT consumed" | `.06`, `.48`
GENH4	EFF-GENH4.md	EFF.GENH4.45	NOTE:W12	General (H-e) | "remains [W12-H]'s open box"; **"P(5) does NOT fire from this note"** | `.45`
GENH4	EFF-GENH4.md	EFF.GENH4.107;EFF.GENH4.45;EFF.GENH4.81;EFF.GENH4.95	NOTE:GENH4	n = 5 stays open (×3, both shards) | GENH4-BOX-2 re-asserted in all three what-does-not-move declarations plus shard 1's own box | `.45`, `.81`, `.95`, `.107`
GENHN	EFF-GENHN.md	EFF.GENHN.06	NOTE:LIFTCORNER	The W-2 / LIFTCORNER seam | "canonical digit-lift letters (**the W-2/LIFTCORNER seam NOT consumed**; convention-keyed histories)" | `.06` | s1
GENHN	EFF-GENHN.md	EFF.GENHN.05;EFF.GENHN.21	NOTE:GENH4	DULEMMA | "applicability at general e₁ ≥ 2 stages checked as charged … **but as at GENH4 it is NOT consumed**: the exact valuation of R is proved directly (S3)" | `.05`, `.21` | s1
GENHN	EFF-GENHN.md	EFF.GENHN.05;EFF.GENHN.11;EFF.GENHN.27;EFF.GENHN.33	NOTE:GENHN	Weld faces inside count laws (μ = 2) | "the slot geometry and no-cancellation are **RE-PROVED elementarily** below (GENHN-2 …), so **no weld face sits inside the count laws**" — true at μ = 2 only; GENHN-BOX-2 discloses 
GENHN	EFF-GENHN.md	EFF.GENHN.46	NOTE:GENHN	Tower count laws | "the composed ENTRY BUDGETS … and the inner refine transfer are **NOT derived here** — boxed, [GENHN-TOW-1]"; "The sealed note **displayed no explicit tower count law**" | `.46` | s1
GENHN	EFF-GENHN.md	EFF.GENHN.45	NOTE:GENHN	Genre-general faithfulness | "**No genre-general classification of the faithful region is claimed here** — [GENHN-TOW-1]" | `.45` | s1
GENHN	EFF-GENHN.md	EFF.GENHN.17	NOTE:GENHN	Multiplicity-weighted composition proof | the `[r2]` withdrawal: "the sentences 'No new mechanism' and 'inheriting exactly GENHN.A's clause grades at each level' are **WITHDRAWN**" | `.17` | s1
GENHN	EFF-GENHN.md	EFF.GENHN.56	e(L/base)	DULEMMA (S10 restatement) | "applicability checked …, **NOT consumed** (S3.1 proves the valuation directly)" — riddered by E3 to read `e(L/base)` | `.56` | s2
GENHN	EFF-GENHN.md	EFF.GENHN.64;EFF.GENHN.70	NOTE:GENHN	μ = 3 σ corroboration declined | "E3 1,792 + 6,565 (**[GENHN-HE(3)] corroboration, labeled** — an OPEN box, not proof)" | `.64`, `.70` | s2
GENHN	EFF-GENHN.md	EFF.GENHN.71	NOTE:GENHN	Instrument grade ≠ acceptance | "**instrument grade, not acceptance** … nothing here upgrades the conditionality display of THEOREM GENHN.B" | `.71` | s2
GENHN	EFF-GENHN.md	EFF.GENHN.07	runs/qgen/sweep_manifest.txt	Manifest amendment | this merge adopts the 1319 \ | 1320 split but does **not** itself amend `runs/qgen/sweep_manifest.txt` — that half of OPEN-CALL 1 is left to Asvin | — | this merge
GENIND	EFF-GENIND.md	EFF.GENIND.11;EFF.GENIND.117;EFF.GENIND.135	NOTE:W12	n ≤ 3 never consulted [W12-H] | "the reason the n ≤ 3 program never consulted [W12-H]" | `.11`, `.117`, `.135`
GENIND	EFF-GENIND.md	EFF.GENIND.136;EFF.GENIND.92	NOTE:GENH4	Annex-stack grade not inherited | GENH4's "annex-stack count is 0/2 with its pass #2 in flight … (not landed at this commit)" | `.92`, `.136`
GRTJB	EFF-GRTJB.md	EFF.GRTJB.39	grt_weld_probe.GmnLeg	No new print transcription | "Classifier side = the GMN print … consumed as literature through the SEALED probe transcription `grt_weld_probe.GmnLeg` (no new print transcription in this unit)" | `.39`
GRTJB	EFF-GRTJB.md	EFF.GRTJB.114;EFF.GRTJB.61	HigherNewton.tex	The valuation-multiplicativity route | `HigherNewton.tex` ~1012 is "a NEW anchor this note does not consume"; recorded NOT TAKEN (atom value degenerates at interior periods `P_t = 1`) | `.61`, `.114`
GRTJB	EFF-GRTJB.md	EFF.GRTJB.114	w_m	The internal-edge line→`w_m` transfer | "DERIVABILITY … WAS CHECKED BEFORE RE-SCOPING: … NOT derivable" within this note's consumption list | `.114`
